,AI System,Risk
67,"Soomersby used a AI-based social listing solution of an external provider to pursue this campaign and check the mood towards the brand. Thanks to this method, they could see that the campaign improved the general brand mood and achieved an enormous range in social media. In addition, the new drink became a bestseller in its category.","[0, 1, 0]"
68,"Before implementing a Price intelligence solution, Euronics members were able to receive price information on competitive products from the headquarters once a week. However, this data was neither comprehensive nor up -to -date for an attractive pricing. The basis for optimal pricing of products is reliable, daily data - and therefore a higher update rate of price information for modern price strategies is crucial. This increased update frequency could only be achieved with an automation tool. On the basis of a well -maintained database, consisting of individually configurable price rules and the current market situation, a Price Intelligence Tool of an external provider determines an optimal price for each individual offered product. This competition price proposal can then be transmitted either automatically or manually to the company's own web shop, ERP (Enterprise Resource Planning) or other interfaces. The AI ​​solution provides Euronics several times a day the competitive prices of around 100,000 products.","[0, 1, 0]"
69,"The retailer used the solution of an external provider to gain insights into the preferences of buyers: to gain inside. This includes visual style-based attributes such as color, pattern, shape for fashion retail and brand, category, etc. This information was used to create product recommendations with visually relevant styles for each buyer. The result is that every buyer on the moment he/she enters the website has a journey tailored to him/she. The shoppers are served with increased relevance. These recommendations are also used to manage out of printed products on pages so that buyers can continue: inside, even if a product you like is not available.","[0, 1, 0]"
70,"The household appliance manufacturer worked with a AI-based company to analyze relationships between all tailor-made products and brands in the category at the same time. By using network analyzes and machine learning, the algorithm was able to effectively develop the dealer recommendations and to uncover a remarkable amount of details about consumer behavior and preferences. The AI ​​algorithm was able to data-based predictions about the sales volume of the competitor: inside, the most important product features and more.
 This helped the manufacturer to recognize which product categories sections below, which features the prices of competitors: influenced and identify opportunities for cross promotions and competing products. The algorithm was also able to classify products based on probable sales quantities.","[0, 1, 0]"
71,"As a result, Sundance Catalog gained the opportunity to benefit from his most committed audience without overwhelming the remaining recipients: overwhelming inside. From a metric perspective, this transition led to improved commitment, a better state of list, a higher reputation of the sender and an improved placement in the inbox.
 The AI-based solution made it possible to get the right buyers: to be better available at the right time at the right time. Nothing has changed in the e-mails themselves (the creative, the subject lines, the brand history, the branded voice, the offers, etc.)-the only thing that has changed was Sundance Catalog's commitment approach. As a result of this new, graded system, the brand achieved considerable growth in the annual comparison and at the same time significantly reduced the total costs of its email marketing program.","[0, 1, 0]"
72,"Bas van Andel presents a machine learning approach for shipping consolidation. A cluster analysis grouped suppliers: inside that are geographically close together and generally deliver to the same production locations, and a time -based guideline that introduces a maximum waiting time for deliveries before they are released. When introducing a maximum waiting time, there is a comparison between savings and a share of punctual programs. In this case, the potential savings depend on the company's tolerance for late deliveries.","[0, 1, 0]"
73,"Collecting data is a key element of every operational process, because without the analysis of past data, no sound decisions can be made. With historical insights, millions of data points analyzed in real time are analyzed. This results in the prioritization of opportunities and risks, so that fleet managers: inside and drivers: Inside, the best procedure can determine the best procedure in potentially problematic situations. By working with a British start-up (AI expert in the transport area), Linde had access to extensive data and started developing a new algorithm. The project focused more on external factors than on information on the drivers: Linde had access to the data of public transport over the past 10 years, including two million accidents, street-topology data, weather data, road construction data and traffic data as well as Lindes own driving notes. Through machine learning, it was possible to identify correlations between various factors, to remove irrelevant information and predict what will happen most likely under certain conditions.","[0, 1, 0]"
74,"Amazon installs the Driveri platform of the Netradyne start-up based in San Diego in its vehicles. Their cameras use four lenses that film the street, the driver and both sides of the van. The cameras, which are 100 percent in operation, do not record an audio and cannot be used to observe the drivers: inside real time. They have artificial intelligence, which identifies 16 signals based on what is happening around the vehicle and identifies the actions of a driver. Everything illegals, such as B. failure or driving too fast triggers audio answers, including ""no hold recognized"" and ""Please drive more slowly"". Uncertained driving, such as too severe brakes, does not bring audiovications, but is recorded in the film material that is uploaded to a safe portal so that Amazon can check it. While the cameras do not offer a live feed, some Amazon signals can cause the drivers to contact: to contact the inside. For example, if a yawn is registered, the camera points out to stop for 15 minutes. If drivers: do not do this inside, presumably because of the deliveries that have to be completed, the supervisor could call and ask them to stop for a while.
 
 Note: This application has been significantly criticized and represents some ethical challenges because some drivers: see a threat to their privacy inside.","[0, 0, 0]"
75,"AI algorithms use the course of the order and combine them with real-time data to other external factors in order to create a more precise demand forecast. This improved requirement forecast is used to create an optimized delivery date plan, which is most likely adapted to the needs of customers: inside. Such an optimized schedule can help to make excess stands and undertestings for both buyers: inside and for the supplier: to reduce inside. In addition, algorithms can be tailored to a certain buyer by using the order history of this person and combining with real -time data on other factors such as local events, regional holidays and the corresponding weather conditions.
 Linde's digitalization team used historical data on order information of over 25,000 customers: KI used and used to determine the influence of other external factors such as weather, local events, public holidays, positions of the pubs and sporting events and their influence on beer consumption in pubs, what then affected the required CO2 amount. They also mentioned how they could have a ""tailor -made delivery element"" for every customer (in this case pub owners: inside) that could help them not only deliver the right number of cylinders that a pub owner Need, but also to deliver it at the right time.","[0, 1, 0]"
76,"In order to solve the problem, GE relied on the newly acquired startup Wise.io, which builds and uses ML-based solutions. The Wise.io team wanted to integrate machine learning in a non-disturbing way into this workflow. The team took all the historical warnings and results of these warnings from all over the fleet and used machine learning to learn the patterns that are associated with the actual result of each warning. The machine learning application then provided recommendations to the fleet monitor team, used machine learning to show them a direction (both suggestions and levels of trust in these suggestions), and gave the team a tool that makes life easier for them .","[0, 1, 0]"
77,"The Last Mile Platform (Lamp) logistics software from Singpost is a AI-based tool that consolidates various delivery services for the last mile such as courier services, package lockers and stationary collection points on a single platform.
 The AI ​​software is able to analyze courier movements and to proactively warn interest groups. Retailers: Inside, your customer can offer the opportunity to obtain your online purchases via any last-mile delivery node in the network, in every country of Southeast Asia. Another key feature of the AI ​​algorithm is its ability to autonomously plan the best courier delivery routes based on factors such as parcel defects, customer preferences and real-time traffic and weather data.","[0, 1, 0]"
78,"The solution to these problems is to better predict what will be announced: so that these products can be ordered in advance. And that is exactly what Otto did by using a deep learning algorithm, which was originally developed for particle physics experiments at CERN in Geneva.
 The AI ​​algorithm analyzes around 3 billion past transactions and 200 variables such as past sales, search queries on Otto.de and external information such as weather forecasts to predict what consumers will buy inside. The system can now predict what will be sold in the next month, and Otto enables around 200,000 items to be ordered automatically from third -party brands every month without human intervention. At Otto, too, the AI ​​system has led to a significant reduction in product tours.","[0, 1, 0]"
79,"In order to tackle this problem, the DHL warehouse worked with a AI-based startup to use machine learning technology and create patterns with external factors that would influence the storage conditions. Predictive analytics was used to determine time windows with lower business activities or a decline in the outside temperature, which in turn was used for energy cost savings by proactively reducing energy consumption in these time windows.
 
 AI algorithms serve to predict the order, arrive in the article and leave the camp, and this information can be used to create an optimized positioning of the pallets. Historical data trends and future forecasts are used to recognize the faster moving articles and to place them in better positions, and articles that are normally bought together are placed together in the warehouse.","[0, 1, 0]"
80,"Together with an external provider, the company has implemented a fully automated solution for inventory management using drones. The main requirement was a precise map of the camp with details of all gears and shelf locations that could use drones for navigation. Signal bodies in corridors and the warehouse were placed for indoor reference and increasing the position accuracy of the drones. These signal bodies created position coordinates, which proved to be very helpful in navigation.
 The drones were equipped with a scanner that could scan different barcode stickers such as EAN and UCC. After data scan, the drones communicate with a WMS system or a custom software that can capture the location and inventory.","[0, 1, 0]"
81,"First of all, cameras were installed along the railway tracks to take pictures of passing wagons. The pictures were then automatically uploaded to a AI-based image memory, where AI image classifiers identified damaged wagon components. The AI ​​classifiers were trained in where they search for wagon components in a certain image and how they can successfully recognize wagon parts and then classify them in seven types of damage. When more data was collected and processed, the visual recognition of the AI ​​system improved to an accuracy rate of over 90 %in a short time. The anomalies and damage discovered by the system were sent to a workplace dashboard, which is managed by maintenance teams.","[0, 1, 0]"
82,"The software company Risk methods solves Dana's problem by converting data from external and internal sources with AI into real-time information. First, double information is removed with the help of Natural Language Processing. Next, Risk methods' recommendation service based on mechanical learning analyzes the data points and filters out the most relevant information for Dana's supply chain. In a last step, the identified relevant events or information is checked against and enriched with specific details. In the case of Dana, Risk methods' AI service successfully warned of an earthquake in Mexico and currency fluctuations in Turkey and provided the company an overview of the suppliers concerned: inside.","[0, 1, 0]"
83,"Móveis Itatiaa (Mi) has introduced a solution that consists of information security, network technology, analysis and research experts: Inside, which the network environment of Mi continuously monitored around the clock, so that the company can quickly react to any threat to cybersecurity. The ticket position for critical security incidents is automated and offers both time and productivity gains. The suite you selected offers the company simple, effective updates as well as the management of endpoints and weaknesses in a single console. The system based on machine learning to recognize application behavior reduced the number of false alarms and presented the warnings in a way that simplified the analysis and decision -making.","[0, 1, 0]"
84,"The large-scale AI analysis solution in real time of anodotus is fully automated in every step of the data acquisition process (recognition, ranking and group) and provides precise warnings of changes in important business code such as missing data, unexpected data types, zeros, where none should be, or incorrect Records. If there is a suspicion based on these notifications that not everything is fine with the data, you can quickly concentrate directly on the specific problem and consider how to continue. This multi -structure can help companies to recognize very specific anomalies in data quality, in particular those that would be smoothed or unnoticed by wider metrics such as average values ​​and company -wide total values.","[0, 1, 0]"
85,"From searching for seats to the purchase of merchandising articles or special offers, it is important that fans get to your destination as efficiently as possible. The analysis of data with AI from various sources, including cameras, lidar and WiFi, can identify areas with traffic jams, unauthorized access to areas, most busiest times, popular areas, dwell times, heat maps and fan paths throughout the stadium. This helps to make the flow of traffic more efficient. This data analysis can also help optimize personnel, security and operation in order to satisfy the demand and to improve the fan experience.","[0, 1, 0]"
86,"The company was looking for a AI-based platform of an external provider for recognizing and reaction to threats. It collects and stores network metadata and enriches them with unique security knowledge. It uses these metadata together with machine learning techniques to identify and prioritize attacks in real time. The platform helped ED & F Man Holdings to recognize and block several man-in-the-mid-attacks and to stop a crypto mining program in Asia. In addition, Command-and-Control malware that had been hiding for several years was found.","[0, 1, 0]"
87,"The Energy Saving Trust worked with an external provider to develop a platform based on AI technology. The platform modeled the behavior of each device, user and network to learn certain patterns. It automatically recognizes every abnormal behavior and alerts the company in real time. This does without having to rely on preset rules or signatures, like most legacy tools, and therefore recognizes potential threats with greater probability, even if they have not occurred beforehand. Energy Saving Trust was able to recognize numerous anomal activities as soon as they appeared and alert the security team to carry out further examinations, while at the same time every risk could be reduced before real damage was caused.","[0, 1, 0]"
88,"The IT team used a unified endpoint management (UEM) tool of an external provider to promote productivity and innovation throughout the company and to minimize overhead costs. End users: Inside, the entire self-service registration process, from registration to downloading the app, can complete within 5 to 15 minutes. The tool helps to keep the company up to date on potential endpoint threats and to remedy the situation in order to avoid security violations and interruptions. The solution offered a clear insight into and control over the company's global device stock, which has grown to more than 80,000 company and employee devices and around 800 apps. It also helped the team to save and reduce costs by automating important configuration and support processes.","[0, 1, 0]"
89,"AI enables threat detection software to think like a hacker. Software can help identify weaknesses that would normally take advantage of cybercriminals and to report them to the user. In contrast to conventional methods, the threat detection software also enables weaknesses in user devices better before a threat occurs. AI-supported security goes beyond traditional methods to better predict what a hacker would consider as a weak point. In cooperation with an external provider, Aprio was able to automatically identify assets and use advanced machine learning to evaluate the risk in the context of a certain environment. The assessed Health Score also follows the risk profile of customers: inside and offers a continuous, tangible measurement of the weakness management and the efforts of the resolution instead of a snapshot.","[0, 1, 0]"
90,"Machine learning is suitable for the DC environment in view of the complexity of the plant operation and the abundance of existing monitoring data. The modern large data center has a variety of mechanical and electrical equipment, together with the associated setpoints and tax schemes. The interactions between these systems and various feedback loops make it difficult to precisely predict DC efficiency with conventional technical formulas. In addition, the sheer number of possible device combinations and their target values ​​make it difficult to determine the optimal efficiency. To meet these challenges, Google uses a recommendation machine based on Deep Learning to continuously reduce energy consumption for cooling in one of its data centers by 40 percent. In 2018, the company went one step further and allowed the algorithms to make adjustments automatically and under human supervision.","[0, 1, 0]"
91,"AI can help users: inside the risks that they are exposed to every day. An advanced threat detection software supported by AI can offer a more prescriptive solution to identify risks and to deal with them. A more precise explanation leads to a more concrete understanding of the problem. As a result, users know better: Better inside how you can reduce the incident or the weak point in the future. In collaboration with an external partner, Daimler received a reliable risk arrix with a comprehensive indicator age guideline and a corresponding risk score. The combination of relevant threat information, IOCs (indicators of compromise = traces of cyber attacks) with a precise context, extensive access to the Dark Web and the integration with the company's security-tech stack made it possible to proactively and effective its security situation to enhance.","[0, 1, 0]"
92,"The AI ​​services of an external partner who were trained with an extensive set of real threat data continuously distinguish real threats to harmless objects in real time. They become more intelligent over time when new threat profiles are discovered. In addition, they show the security personnel exactly where weapons on the body or in their pocket could be hidden, and enable the guards to intervene precisely and quickly. The technology uses artificial intelligence and facial recognition software to analyze live recordings of approaching visitors: to analyze inside, to determine whether it is approved persons, such as regular visitors: inside, VIPs, employees: inside and other people who access them should be granted. If a visitor is emphasized as a non -permissible person, his/her profile will be sent to security officers and a human person can check and verify the data. The technology claims to allow at least one person per second.","[0, 0, 1]"
93,"The Threat CertaAnty indextm from Vectra prioritizes the findings automatically, so that the most critical behaviors of threats are easy to recognize. It is able to find and stop cyber attacks in the cloud, in the data center, in the IoT (Internet of Things) and in corporate environments by using AI to provide threat transparency in real time. By combining progressive machine learning techniques - including deep learning and neural networks - with constantly learning behavior models, the platform reveals quickly and efficiently hidden and unknown threats before causing damage or stealing data. Vectra automates the search for cyber attackers: inside, reveals where they hide and reveal what they do. The threats with the highest risk are immediately spotted, correlated and prioritized with harmful guest devices so that IT security teams can react faster to stop on current attacks and avert data loss.","[0, 1, 0]"
94,"Patent Monitor uses computer linguistics software for machine learning to sort and classify the recurring text in patents. In addition to learning to mimic the behavior of experts in intellectual property, the central input data on which the system is based are the document databases of patents, including all accompanying documentation. As soon as the system has been commissioned to search or monitor, it can issue the calculated relevance of other patents that can then arrange and classify it to support the F&-Teams by providing a consistent library of current patent-specific information. This software for machine learning works through the practice of text classification with processing of natural language (NLP). The system initially assigns the text a number of predefined categories. This approach can be used to organize, structure and categorize texts, ranging from social media contributions to complicated medical documents and studies. When assigning such categories to the texts, NLP supports the computer in translating the human language and understanding the context of documents. As soon as a machine learning algorithm has undergone a number of iterative examples of text classification on a specific topic, its ability to achieve precise results. In this case, the system reads and decodes the human language and identifies relevant data that can be generated in a useful and valuable format for human experts: inside.","[0, 1, 0]"
97,"The manufacturer sent six employees: inside for a workshop by the solution provider who analyzes the business idea. After the introduction to the functional principle of the solution, all employees were asked to evaluate their business idea according to their gut feeling. Then two groups with three participants were formed: inside. Each participant initially withdrew with the help of the AI ​​tool for a self-assessment of the business idea. Then the two teams met again and discussed the results. The AI ​​tool offered concrete starting points to improve ideas. In addition, the team got to know the decision parameters of successful venture capital investors in just one day and was able to use them to evaluate and improve business ideas.","[0, 1, 0]"
98,"Scientists: Inside, artificial intelligence has been used to ""predict"" formulas for new designer medication, with the declared goal of improving their regulation. The AI ​​generated formulas for almost nine million potential new medication. The research team used a database of well-known designer drugs-synthetic psychoactive substances-to train the AI ​​system on their structures. The market for designer drugs is constantly changing because its manufacturers are constantly optimizing the formulas in order to avoid restrictions and produce new ""legal"" substances, while it takes months for the law enforcement authorities to crack their structure.","[0, 1, 0]"
99,Scientists: Inside the University of Liverpool have developed a completely autonomous mobile robot that supports them in their research. He was designed in such a way that he works continuously for weeks and with the help of AI data and makes decisions about what to do next. A flexible arm with a customer -specific gripper can be calibrated for interaction with most standard laboratory devices and machines and is designed in such a way that it can safely navigate around human employees: inside and obstacles. The robot worked autonomously for eight days and carried out 688 experiments in the laboratory. This autonomous search identified photocatalyst mixtures that were six times more active than the original recipes.,"[0, 1, 0]"
100,"In a recently carried out cooperation and using the generative design technology, GM engineer designed: Inside a new, functionally optimized seat bracket, a standard car section that ensures seat belt attachments on seats and seats on floors. While the typical seat holder is a box -shaped part that consists of eight -welded parts, the software has developed more than 150 alternative designs that look more like a metallic object from space. The design chosen by GM consists of a single instead of eight stainless steel parts, is 40 percent lighter and 20 percent stronger than the previous seat bracket.","[0, 1, 0]"
101,"The company uses AI strategies and focuses on AI-based signal recognition and trend evaluation in order to influence investment decisions and to meet the future expectations of its customers. The company uses a three -stage framework: Sensing, interpreting and acting to contextualize the AI.","[0, 1, 0]"
102,"Researchers at the University of Cambridge have developed an algorithm that shows chemists how to make target connections by providing the chemical ""map"" to the desired goal.
 
 The algorithm uses tools for pattern recognition to illustrate how chemical groups react in molecules by training the model to millions of reactions published in patents. The researchers: Inside, the prediction of chemical reactions considered a problem of machine translation. The reacting molecules are viewed as a ""language"", while the product is considered a different language. The model then uses the pattern in the text to learn how to ""translate"" between the two languages.
 With this approach, the model achieves an accuracy of 90 % when predicting the correct product of invisible chemical reactions, while the accuracy of trained human chemists: inside is around 80 %. The researchers: Inside, say that the model is precisely enough to recognize errors in the data and correctly predict a wealth of difficult reactions.
 The model also knows what it doesn't know. It creates an uncertainty that eliminates incorrect predictions with an accuracy of 89 %. Since experiments are time -consuming, a precise prediction is crucial to avoid that expensive test routes are pursued that ultimately lead to failure.","[0, 1, 0]"
103,"Lear has teamed up with a AI-based startup to found Lear Innovation Ventures (LIV). LIV uses AI strategies and focuses on AI-supported scouting and evaluation to influence strategic business and technology decisions and to meet the future expectations of his customers. At LIV, AI is contextualized with a three -stage approach: scouting, evaluating and processing.
 Driven by the AI-capable Insights module and radar views, the scouting phase includes continuous monitoring trends, technologies, opportunities and blind spots. AI-supported algorithms monitor high-volume time series such as news reports, academic research and patents to identify gaps and blind spots. This phase enables global engineering experts: inside and innovation managers: inside, discovering the known unknown people.
 During the evaluation process, the most relevant technologies are selected for a deeper assessment. Using queries in the Insights module, the relevance of these selected technologies is further examined by the AI ​​platform.","[0, 1, 0]"
104,"The team tried several models and decided on a random forest model. This is a mechanical learning algorithm that uses data to train decision -making trees and then create a ""forest"" of decision -making trees with random variables. By navigating a very large number of decision -making trees that decide on the result, a precise approach to the risk of every debtor is made possible. This method is very effective when inconsistent data sets are used. Two debtors: Inside, the same payment behavior may show over a longer period of time, but if a inheritance suddenly receives or is promoted, this can change overnight. By creating a large number of random trees, the system is able to use such differences more effectively. The result was a dynamic dashboard that can be sorted according to various criteria such as the municipality, debt type, debt height or period. The full list can be zoomed in more and more, except for the level of the transaction history of a single debtor. The system provides prediction of the future payment behavior of every debtor.","[0, 0, 0]"
105,"Grapa supports auditors: Inside, a chosen strategy towards all other previously used risk strategies. It uses a Deloitte database with 10,000 cases, and each case contains average fifty risks. Grapa is not an independent application; Rather, it is added to the software that the auditors: use inside when determining the risk strategy. ""It is as if they could ask a second person to read next to them,"" explains Van Gool (Audit Innovation Leader, Deloitte). ""But the advantage is that this second person has the bundled expertise from Deloitte."" He emphasizes that the auditor remains responsible for the chosen risk strategy and examination method. “Grapa shows what happened in similar cases. But if the situation of a company is something special or unusual, it is of course due to the examiner to adapt the approach accordingly.","[0, 1, 0]"
106,"HAWK: KI combats financial fraud with an anti-money laundering solution based on real-time transaction monitoring and uses machine learning in combination with classic rule-based approaches. Your system analyzes and evaluates large data records of historical and real-time transactions. Based on the findings from historical suspected cases, the AI ​​system is able to filter relevant cases in real time and to identify for further examination by human compliance officers. In addition, HAWK: AI integrates new methods for automatic pattern recognition that enable the discovery of new and unknown fraud types.","[1, 0, 0]"
107,"Worldline, the success and security of its customers: A.S. Adventure to an innovative solution - Fire by Fraugtser. The AI-based risk management suite fit perfectly with A.S. Adventure's needs. Fire enables an intuitive yet sophisticated letter of rules for fraud recognition and translates human thinking processes into clear rules. In addition, Fire users enable users to test the inside, to test rules before they are provided, which eliminates the uncertainty in the control creation and ensured precise performance. The move to Fire enabled A.S. Adventure The simple writing and testing of fraud recognition rules. By using the Ms.gster AI scores, they were able to reduce false alarms in order to correctly identify good and bad: inside. The execution of simulations before a rule went live, made it possible A.S. Adventure to find out how effective a rule can be. The control performance has been improved, which means that the need for manual checks and valuable time in risk management is saved.","[0, 1, 0]"
108,"Electrolux searched for an innovative solution for a long time before it chose Appzen. Expense Audit von Appzen could be integrated into the ELECTROLUX expense automation system in order to check each individual item in real time. With its high flexibility, Appzen Electrolux's AI system was able to provide the most important information from receipts in order to identify all larger anomalies such as duplicates, expenses outside of the guidelines or excessive fees and to comply with the necessary guideline rules. The AI ​​system independently identifies individual items and their cost types and assigns each transaction to the responsible employee: inside. This improves the enforcement of compliance and financial regulations.","[0, 1, 0]"
109,"Collectai software manages communication between customer and the accountant. The self-learning AI system optimizes the timing of communication to ensure the best results. Customers: Inside, emails, SMS or letters in acer-style letters. The AI ​​algorithm is based on Reinforcement Learning. The system learns to recognize connections in the data record, e.g. information about the customer behavior typical of failure. Based on the results, the algorithm derives the next best action. In addition, Deep-Q networks are used to combine and learn re-forcement learning with neuronal networks, to anticipate the possible consequences of the respective actions.","[0, 1, 0]"
110,"Ginimachine enables users: to create, validate and provide models inside, models in order to achieve such a high gini index as necessary. With the platform, users can evaluate: Inside, by replacing unlimited fixed parameters. This gives you a more comprehensive image of customer behavior and can effectively manage risks.","[1, 0, 0]"
111,"The travel platform integrated a AI solution that was able to recognize well-known and unknown advertising protection, especially for the recently entered regions in which the customer's existing identification systems had a low cover. The deep learning and natural-length processing models of the AI ​​system recognized that the email accounts had similar names, although the domains and prefixes were different. Although fraudsters used different IP addresses to disguise their traces on the inside, the unattended machine learning algorithms of the AI ​​system recognized that all IP addresses came from the same IP substances. With the help of a proprietary engine for unattended machine learning, the AI ​​solution accelerated the detection by identifying all accounts and events at the same time analyzed and suspicious clusters of malignant activities-even at the time of account registration.
 The AI ​​solution helped the travel platform to save millions of dollars of losses through fraud, and made it possible for her to start new, large-scale advertising campaigns in certainty that only real customers: inside would be given advantages from the platform and its partners.","[0, 1, 0]"
112,"Deloitte Czech Republic has developed a AI tool called Eagle Eye that uses open source intelligence to collect signals from the Internet. The AI ​​software considers all the information you find about the company, customer or the market, which Deloitte assigns it, as a signal. With the help of machine learning, Eagle Eye then begins to analyze these signals, correlates them and recognizes certain patterns.
 AI can handle the huge amounts of data on the Internet and find correlations between parameters that people would not even think of. As soon as these patterns are determined, Eagle Eye constantly monitors the Internet to look for them and provide warnings.","[0, 1, 0]"
113,"Gentpact worked with a AI-based startup to implement an automated AI-based review of expense reports. The AI-based solution was able to manage operations with little to medium risk with little or no manual input. This reduced the workload of the auditor and enabled the customer to concentrate on other important matters. It also enabled better visibility for management and improved employee compliance.
 Employee satisfaction also improved, since the reimbursements compliant could be paid faster and the examiners: inside could concentrate on exceptional cases.","[0, 1, 0]"
114,"The Polish telecommunications company worked with Neoteric to develop a emigration forecast solution based on predictive ML algorithms. The solution from Neoteric processed the complete database within 24 hours, consisting of around one billion customer -related data records and another 75 million additional external key figures. After processing the data, the prediction models were able to present the new scoring information to the sales team, which showed the probability of termination together with the probability of interest in certain products. Although all data was used for the training of the algorithms, the result was only announced to those: inside that had been approved for profiling.","[0, 0, 0]"
115,"Kareo tried the Gong's conversation in the intelligence platform. Gong's promise was to increase the final rates in the 40-person team and accelerate onboarding by recording, transcribed and analyzing the demos of the sales team. On the side of the final rate, this would give the team an insight into the course of the demos so that it could be trained and the course could be corrected on a large scale. On the onboarding page, the recorded demos, which the team collected, could be used to accelerate onboarding for new employees: inside. New sales employees: In the inside, in every phase of the sales cycle, a ""highlight role"" would have good calls that you could check at the beginning to quickly take you through the individual steps. This would enable them to create their own calls and demos in just one or two weeks instead of several months.","[0, 1, 0]"
116,"The path to AI-controlled lead qualification began before AI became part of the lead assessment process and went in three different phases:
 1. Business rules. Here Microsoft started before AI was added to the lead qualification. The sales and marketing system contained business rules that provided a relative value that indicates the likelihood that a lead will be converted into a sales option. These rules assign a point value to a customer to create a lead rating structure.
 2. AI supported lead scoring. During this phase, Microsoft KI implemented to improve its lead scoring system. Ki-lead scoring focuses on customer behavior and shows the different types, as a customer interacts with Microsoft, values, which creates a more precise scoring result.
 3. Bot-controlled commitment and detection of intentions to talk. The latest phase included the integration of a AI-Bot and an engine based on machine learning, which examines and manages email communication between the customer and the sales team. Microsoft called the engine ""Bot (and Ki) Enabled Augmented Marketing"" (Beam). Beam focuses on recognizing the intention to conversation in order to determine the likelihood that a customer is willing to buy products or services.","[0, 1, 0]"
117,"In cooperation with a large retailer in the USA with over 30 inpatient shops, Remi Ai relied on his earlier work in the fields of image recognition and pedestrian modeling in order to use artificial intelligence for customer persecution in the CCTV (Closed Circuit Television/ Video Supernigence) of the.
 This image labeling platform pursued how many announced: individual products looked at. These were used to calculate the conversion rates for individual products and then fed into the artificial intelligence of the dynamic pricing in order to better understand how price changes affected the conversion rates.
 By using pedestrian tracking in the shop to understand the conversion rates for products exactly, Remi Ai was able to use this information to carry out parallel tests with different price strategies.","[0, 1, 0]"
118,"Bonprix has worked with Blue Yonder, which with the help of machine learning determines the best price based on previous sales data and taking several external factors into account. This allows you to automate manual tasks. Price changes can be implemented with Dynamic Pricing overnight, for example if there are a short-term needs for profit or inventory management. In the past, the typical merchants spent up to 80% of their time with discounts. The AI ​​tool has automated this, and now they only spend about 20% of their time with discounts.","[0, 1, 0]"
119,"Hanes Australasia with its headquarters in Melbourne, home of some of the best known clothing and lifestyle brands of Australia- including Bonds, Bras N Things and Sheridan- employs more than 4,000 people and is in all of Australia, New Zealand, South Africa, Great Britain, the USA, China and Represent Indonesia. After taking over the Pacific Brands at the time in 2016, Hanesbrand's Inc., headquartered in North Carolina, sells Hanes Australasia its products via its network of around 550 shops, its 14 websites and its extensive wholesale network. With its Google Cloud data architecture, which helped Hanes Australasia to achieve a leading position as e-commerce dealer in Australia and beyond, the company began to examine how machine learning could use to offer even more convincing, more personalized customer experiences . In particular, it wanted to get away from a manual, labor -intensive method to recommend visitors: inside his websites. A team member spent half a day a week to update recommendations for thousands of products using complicated spreadsheets.","[0, 0, 1]"
121,"There is no unified, numerical credit score for businesses or individuals, rather national and local platforms use different evaluation or rating systems. Due to the differences in various pilot programs and a fragment system structure, information regarding the scoring mechanism is often conflicting.  T he numerical score mechanism was limited to private credit rating and loyalty programs. The national regulatory method has been based on blacklisting and whitelisting, which is triggered by specific offenses instead of a low score number.  The Central Government operates a number of national and regional blacklists based on various types of violations. The court system is available for businesses, organizations, and individuals to appeal their violations. After being put on the blacklist, it typically takes 2–5 years to be removed from the blacklist, but early removal is also possible if the blacklisted person ""fulfills legal obligations or remedies"". Blacklist violations for businesses include not paying tax on time, being unable to maintain necessary licenses, producing low-quality goods, and disobeying environmental protection policies.","[0, 0, 1]"
122,"The toys are connected to the internet (via WiFi or Bluetooth to a phone or other device with internet access) and send data to the supplier. This enables the company's AI to learn for the company and be better able to talk to the child. The company records and collects all the child’s conversations with the toy, and possibly those with other children and adults who also interact with it. The company records and collects all the child’s conversations with the toy, and possibly those with other children and adults who also interact with it. The company is probably storing this data and certainly using it to create a better product. These toys will be very influential because the children will be conversing with them all the time and can encourage them for harmful actions. It can put children at risk.
","[0, 0, 1]"
123,"The current market of RBI systems is overwhelmingly dominated by image-based products, at the centre of which is facial recognition technology (FRT). Other products such as face detection and person detection technologies are also in use. FRT is typically being deployed to perform two types of searches: cooperative searches for verification and/ or authentication purposes, and non-cooperative searches to identify a data subject. The former involves voluntary consent from the data subject to capture their image, while the latter may not. Live facial recognition is currently the most controversial deployment of FRT: Live video feeds are used to generate snapshots of individuals and then match them against a database of known individuals – the “watchlist”.","[0, 0, 1]"
